algoritmo,capacidade_memoria,threads,cores,threads_usados,qtd_sequencias,total_sequencias,size_arquivos,media_tamanho_sequencias,formato_arvore,tempo_execucao
clustalw,134743695360,24,16,3,50,1900,1814446,812.029,nexus,173.83314121997682
clustalw,134743695360,24,16,3,50,1900,1821276,817.3192,nexus,223.30822675698437
clustalw,134743695360,24,16,3,6,228,186857,679.3883333333333,newick,25.840701314038597
clustalw,134743695360,24,16,2,24,912,872307,810.9829166666667,newick,166.981563732028
clustalw,134743695360,24,16,2,13,494,422981,717.9938461538461,nexus,76.10431914398214
clustalw,134743695360,24,16,20,6,228,218493,820.0716666666667,newick,8.339101237012073
clustalw,134743695360,24,16,17,50,1900,1807951,809.5618,newick,43.36019842297537
clustalw,134743695360,24,16,17,49,1862,1746109,796.2602040816327,newick,50.67632773902733
clustalw,134743695360,24,16,6,12,456,465855,879.3266666666667,nexus,47.595026203023735
clustalw,134743695360,24,16,16,50,1900,1822240,816.841,nexus,62.87174524902366
clustalw,134743695360,24,16,16,28,1064,1021556,818.0110714285714,newick,37.0105801949976
clustalw,134743695360,24,16,16,45,1710,1662259,831.0046666666666,nexus,55.0044732009992
clustalw,134743695360,24,16,15,50,1900,1765182,787.7017999999999,newick,62.05119892000221
clustalw,134743695360,24,16,11,50,1900,1718577,763.0147999999999,nexus,62.4810592920403
clustalw,134743695360,24,16,11,50,1900,1768706,789.0424,newick,69.53747484297492
clustalw,134743695360,24,16,11,50,1900,1752537,781.005,nexus,58.64729283604538
clustalw,134743695360,24,16,6,50,1900,1755298,783.7818,nexus,109.58321229997091
clustalw,134743695360,24,16,6,48,1824,1719548,800.3933333333333,nexus,118.25455457501812
clustalw,134743695360,24,16,6,50,1900,1883460,847.1538,nexus,128.01675130601507
clustalw,134743695360,24,16,6,26,988,922755,789.9546153846154,newick,73.53138723102165
clustalw,134743695360,24,16,22,50,1900,1737643,774.347,nexus,36.88522743800422
clustalw,134743695360,24,16,1,50,1900,1843536,826.1936000000001,newick,607.0880646110163
clustalw,134743695360,24,16,22,34,1292,1322514,879.3870588235294,newick,31.367807650007308
clustalw,134743695360,24,16,2,4,152,139041,774.5,newick,26.453043373010587
clustalw,134743695360,24,16,2,50,1900,1830005,820.0025999999999,newick,330.00802847300656
clustalw,134743695360,24,16,2,50,1900,1802218,806.6976,newick,287.4440104109817
clustalw,134743695360,24,16,2,5,190,179718,804.958,newick,36.05493690102594
clustalw,134743695360,24,16,18,9,342,293248,714.6855555555555,newick,9.157514071033802
clustalw,134743695360,24,16,6,9,342,293248,714.6855555555555,newick,10.360763311036862
clustalw,134743695360,24,16,18,50,1900,1799780,805.9632,newick,42.820119922980666
clustalw,134743695360,24,16,18,48,1824,1738690,812.8558333333334,newick,45.58258666499751
clustalw,134743695360,24,16,18,24,912,875784,817.1750000000001,nexus,21.727201843983494
clustalw,134743695360,24,16,18,37,1406,1259440,756.2259459459459,newick,32.7704924599966
clustalw,134743695360,24,16,16,50,1900,1813794,813.6003999999999,nexus,50.1079875860014
clustalw,134743695360,24,16,15,50,1900,1799727,805.2180000000001,nexus,56.351992057985626
clustalw,134743695360,24,16,15,34,1292,1273205,843.7352941176471,nexus,36.87370458000805
clustalw,134743695360,24,16,15,26,988,895862,765.2807692307692,nexus,26.177407361974474
clustalw,134743695360,24,16,15,50,1900,1759047,786.015,nexus,45.072385636973195
clustalw,134743695360,24,16,13,46,1748,1679414,818.0110869565218,nexus,61.24145197001053
clustalw,134743695360,24,16,5,46,1748,1679414,818.0110869565218,nexus,97.81838239199715
clustalw,134743695360,24,16,12,50,1900,1819213,814.5010000000001,nexus,54.41851385100745
